"","date","unit_session_id","Age","BHI_A_1_r","BHI_A_2_r","BHI_A_3","BHI_A_4","BHI_C_1","BHI_C_2_r","BHI_C_3","BHI_C_4_r","BHI_E_1","BHI_E_2_r","BHI_E_3_r","BHI_E_4","BHI_HH_1","BHI_HH_2_r","BHI_HH_3_r","BHI_HH_4_r","BHI_O_1","BHI_O_2_r","BHI_O_3","BHI_O_4","BHI_X_1_r","BHI_X_2","BHI_X_3","BHI_X_4_r","Corona","Curfew_1","Curfew_1_1","Curfew_1_2","Curfew_2","Curfew_2_1","Curfew_2_2","Curfew_2_3","Gender","Household_Size","Left_Right_Politics","Nationality","Residence","Risk_Duration","Risk_Freq","Risk_Quarantine","survey","ToP_Amount","ToP_Freqency","ToP_Inhouse","ToP_Ratio","Residence_County"
"58","2020-03-24 01:24:36",5323778,23,"4","2","3","4","5","1","5","2","4","2","4","4","2","1","1","1","2","1","4","5","1","5","5","1","7","2","","","1","1","1","1","1","5","4","DE","DE","13","0","1",1,"2","2","5","2","Bayern"
"63","2020-03-24 06:26:16",5328005,35,"3","3","3","3","4","4","3","2","3","2","4","4","3","2","2","3","4","1","2","4","1","2","3","1","7","1","1","1","1","1","1","1","1","4","4","DE","DE","","0","2",1,"1","1","3","2","Sachsen"
"64","2020-03-24 06:54:43",5328145,31,"4","4","3","4","4","3","4","2","4","2","4","4","4","1","1","1","4","1","4","5","2","3","4","2","5","2","","","1","1","1","2","1","1","4","DE","DE","","0","2",1,"2","2","4","2","Bremen"
"67","2020-03-24 07:46:00",5328608,27,"2","4","4","2","4","4","4","4","2","2","4","4","2","4","2","2","3","3","5","4","1","4","5","2","7","1","1","1","1","1","1","2","1","1","3","DE","DE","","0","2",1,"2","1","3","2","Nordrhein-Westfalen"
"68","2020-03-24 07:47:48",5328622,30,"4","4","3","2","4","4","4","2","3","1","3","4","5","1","1","3","3","1","3","4","1","4","5","1","6","2","","","1","1","1","1","1","2","2","DE","DE","7","1","1",1,"1","1","2","2","Bremen"
"70","2020-03-24 07:55:58",5328682,29,"4","3","4","4","3","2","4","1","5","2","5","2","4","2","4","3","5","1","5","5","1","4","4","1","2","1","1","1","1","1","1","1","1","2","3","DE","DE","","0","2",1,"2","2","2","2","Berlin"
"73","2020-03-24 08:07:16",5328780,30,"5","4","3","2","3","3","2","3","2","3","4","2","3","2","2","2","4","2","4","4","2","2","3","4","6","2","","","1","1","1","1","2","2","3","DE","DE","","0","2",1,"2","2","3","2","Sachsen"
"75","2020-03-24 08:18:26",5328898,31,"3","3","3","2","4","1","5","1","2","5","5","1","3","1","1","2","4","1","5","2","1","4","3","1","3","1","1","1","1","1","1","2","2","3","3","DE","DE","","0","2",1,"3","3","6","3","Berlin"
"76","2020-03-24 08:24:32",5328938,28,"4","4","3","3","5","3","4","3","4","2","3","4","4","3","4","4","4","1","5","5","1","4","5","1","7","1","1","1","1","1","1","2","1","4","4","US","DE","","0","2",1,"3","2","5","3","Sachsen"
"77","2020-03-24 08:32:41",5329025,27,"4","2","4","4","5","2","3","1","4","2","3","5","4","2","2","2","3","1","3","3","1","5","5","1","7","1","2","1","1","1","1","1","1","1","4","DE","DE","","0","2",1,"1","1","3","2","Hamburg"
"79","2020-03-24 08:37:51",5329067,57,"3","4","2","4","3","2","3","2","3","4","4","4","4","1","3","1","4","1","3","4","2","2","4","2","3","1","1","1","1","1","1","1","2","5","5","DE","DE","","0","2",1,"3","2","5","3","Baden-Wuerttemberg"
"92","2020-03-24 09:14:33",5329491,57,"5","4","2","1","4","4","4","3","5","4","4","2","3","1","3","1","4","1","5","3","1","4","4","2","5","1","1","1","1","1","1","2","2","2","1","DE","DE","","2","2",1,"3","2","5","2","Nordrhein-Westfalen"
"95","2020-03-24 09:26:22",5329666,30,"4","4","3","4","4","3","4","2","4","4","5","1","4","1","5","3","3","1","4","4","2","3","4","3","4","1","2","1","1","1","1","2","2","1","7","DE","DE","","0","2",1,"3","2","6","3","Hamburg"
"98","2020-03-24 09:54:00",5330056,30,"4","4","4","2","5","4","5","2","4","2","3","4","2","2","4","2","4","2","5","3","1","3","4","2","6","1","1","1","1","1","1","1","1","4","3","DE","DE","","1","2",1,"2","2","2","1","Thueringen"
"100","2020-03-24 10:18:47",5330550,37,"2","5","1","2","2","5","4","2","4","3","4","5","3","1","4","4","5","1","5","5","1","2","2","2","6","1","2","1","1","1","1","1","1","1","3","DE","DE","12","0","1",1,"2","2","2","1","Sachsen-Anhalt"
"101","2020-03-24 10:26:38",5330637,41,"4","5","4","3","5","3","4","2","4","2","4","4","2","1","1","1","5","1","3","5","2","2","4","2","8","2","","","1","1","1","1","1","2","7","DE","DE","","0","2",1,"2","2","6","3","Berlin"
"103","2020-03-24 10:34:22",5330747,27,"2","3","3","4","4","4","3","5","3","2","4","1","4","4","2","4","2","2","2","4","1","3","5","1","4","1","1","1","1","1","1","1","2","2","2","DE","DE","","0","2",1,"2","2","3","2","Berlin"
"104","2020-03-24 10:35:00",5330753,29,"4","3","4","2","2","4","2","3","4","3","4","3","3","3","2","3","3","2","4","3","2","4","4","3","7","2","","","1","1","1","2","1","2","4","DE","DE","","0","2",1,"1","1","4","2","Niedersachsen"
"105","2020-03-24 10:37:13",5330799,31,"2","3","3","5","4","3","4","2","2","2","4","1","4","4","2","1","2","1","4","4","1","4","4","1","7","2","","","1","1","1","1","1","1","3","DE","DE","","0","2",1,"1","1","3","2","Nordrhein-Westfalen"
"106","2020-03-24 10:38:50",5330838,31,"4","4","4","2","4","5","4","2","2","3","2","1","5","1","1","1","3","2","2","2","2","5","3","2","8","2","","","1","1","1","1","2","2","3","DE","DE","","0","2",1,"2","2","4","2","Nordrhein-Westfalen"
"107","2020-03-24 10:41:45",5330899,29,"3","2","3","5","5","3","5","4","1","3","3","4","5","1","3","3","5","1","5","5","1","5","5","1","1","1","1","1","1","1","1","1","1","3","6","DE","DE","25","2","1",1,"1","1","6","1","Baden-Wuerttemberg"
"108","2020-03-24 10:46:29",5330965,31,"3","3","3","4","4","3","4","2","4","3","3","1","4","3","2","2","5","2","4","4","1","4","4","2","3","1","1","1","1","1","1","2","1","4","4","DE","DE","8","0","1",1,"2","2","4","2","Bayern"
"109","2020-03-24 11:13:04",5331300,41,"3","4","4","4","5","2","5","1","1","5","4","2","3","1","3","1","4","1","5","4","1","5","5","1","1","1","1","1","1","1","1","2","1","11","2","DE","DE","","0","2",1,"3","3","2","1","Sachsen"
"122","2020-03-24 11:19:28",5331393,57,"5","2","2","4","5","4","5","1","4","1","2","4","5","1","1","1","3","2","4","2","1","5","5","2","3","1","1","1","1","1","1","1","2","1","6","DE","DE","","1","2",1,"1","1","3","2","Sachsen"
"123","2020-03-24 11:24:32",5331450,36,"2","4","4","3","2","5","4","3","1","3","4","4","2","4","4","3","4","2","5","4","1","4","5","2","4","1","1","1","1","1","1","1","1","4","3","DE","DE","","0","2",1,"2","3","4","3","Sachsen"
"124","2020-03-24 11:24:54",5331453,29,"3","3","3","3","4","4","4","2","2","3","4","5","2","3","2","3","4","2","4","4","2","3","5","2","6","1","1","1","1","1","1","2","1","2","3","DE","DE","","0","2",1,"2","2","2","2","Sachsen"
"125","2020-03-24 11:26:31",5331470,45,"3","3","3","4","4","2","4","2","4","2","5","3","5","1","1","1","3","1","3","4","1","4","3","1","6","1","1","1","1","1","1","1","1","2","4","DE","DE","","0","2",1,"2","2","4","2","Sachsen"
"129","2020-03-24 11:27:51",5331489,29,"4","2","4","5","4","2","5","2","2","4","3","5","4","1","1","2","3","1","4","4","1","5","5","1","5","1","2","1","1","1","1","1","1","2","6","DE","DE","","1","2",1,"3","2","4","2","Berlin"
"131","2020-03-24 11:36:35",5331626,26,"4","4","3","2","4","4","3","3","3","2","4","4","2","2","2","2","4","2","4","4","2","4","4","3","4","1","2","1","1","1","1","1","1","2","2","DE","DE","","0","2",1,"2","2","5","2","Schleswig-Holstein"
"133","2020-03-24 11:52:46",5331904,28,"3","5","3","4","5","2","4","5","3","4","4","5","2","5","3","3","3","3","5","5","1","5","5","3","5","2","","","1","1","1","2","2","3","4","CH","CH","","0","2",1,"3","3","7","2",NA
"136","2020-03-24 12:06:31",5332122,26,"3","3","4","5","4","2","4","3","4","2","5","4","5","1","1","4","3","2","3","5","2","2","4","3","2","1","1","1","1","1","1","1","1","2","5","DE","DE","","0","2",1,"3","3","5","2","Brandenburg"
"147","2020-03-24 12:09:59",5332198,62,"4","2","4","4","4","4","3","4","3","4","4","3","3","2","4","3","4","2","3","4","1","2","4","2","4","1","1","1","1","1","1","1","1","1","3","DE","DE","","0","2",1,"1","1","3","2","Baden-Wuerttemberg"
"152","2020-03-24 12:14:55",5332269,31,"3","4","3","4","4","4","4","3","3","4","4","3","2","1","4","2","3","1","3","4","2","4","4","3","7","1","1","1","1","1","1","1","1","3","4","DE","DE","","0","2",1,"1","1","3","2","Niedersachsen"
"158","2020-03-24 12:19:31",5332358,41,"2","4","3","4","4","3","4","2","2","5","5","4","5","1","3","2","5","1","5","4","1","5","4","1","3","1","1","1","1","1","1","1","1","2","5","DE","DE","","1","2",1,"2","2","3","2","Berlin"
"159","2020-03-24 12:27:37",5332519,30,"3","2","4","1","4","3","4","4","2","4","2","5","4","1","2","2","5","2","4","5","1","4","4","1","6","1","2","1","1","1","1","1","1","3","3","DE","DE","","0","2",1,"1","1","4","2","Nordrhein-Westfalen"
"162","2020-03-24 12:31:00",5332595,25,"3","4","3","4","5","1","5","2","3","2","5","4","4","1","2","1","3","1","3","3","1","4","4","2","7","1","1","1","1","1","1","1","1","2","5","DE","DE","","0","2",1,"1","2","5","2","Hessen"
"166","2020-03-24 12:31:35",5332611,56,"4","3","3","3","4","2","4","3","4","3","4","3","3","1","2","3","4","2","4","4","2","4","4","2","5","1","1","1","1","1","1","1","1","3","6","DE","AT","","0","2",1,"2","2","3","2",NA
"167","2020-03-24 12:31:47",5332624,29,"4","2","3","4","5","4","5","3","3","1","4","3","4","1","2","3","4","1","4","5","1","3","4","2","7","2","","","1","1","1","2","1","3","4","DE","DE","","0","2",1,"2","2","6","2","Berlin"
"168","2020-03-24 12:32:04",5332626,21,"3","4","3","4","2","4","3","3","3","1","5","4","5","1","1","3","4","1","5","5","1","4","4","1","5","1","1","1","1","1","1","1","1","2","5","DE","DE","4","1","1",1,"3","2","4","2","Bayern"
"175","2020-03-24 12:34:26",5332680,24,"4","4","2","4","4","4","3","2","2","2","2","2","3","2","1","1","4","1","1","4","1","4","4","3","2","1","1","2","1","1","1","1","2","4","1","DE","DE","","0","2",1,"2","2","4","2","Nordrhein-Westfalen"
"176","2020-03-24 12:34:41",5332688,28,"2","4","2","4","4","3","4","2","1","2","4","3","1","3","2","1","4","1","4","5","1","4","4","2","1","1","1","1","1","1","1","1","1","4","3","DE","DE","","0","2",1,"1","1","2","1","Nordrhein-Westfalen"
"177","2020-03-24 12:35:06",5332698,27,"4","4","2","3","3","2","3","2","4","2","4","4","5","1","2","2","3","1","4","5","1","4","4","1","8","2","","","1","1","1","1","1","3","4","DE","DE","","2","2",1,"3","1","3","2","Hessen"
"184","2020-03-24 12:37:01",5332746,23,"4","3","3","4","3","4","4","2","2","4","4","4","4","1","1","1","4","2","5","4","1","3","4","2","3","1","1","1","1","1","1","1","1","4","2","DE","DE","","0","2",1,"1","1","1","1","Nordrhein-Westfalen"
"186","2020-03-24 12:37:31",5332754,24,"4","3","4","3","4","4","4","1","4","2","4","5","4","1","2","1","4","1","4","4","1","4","4","2","4","1","1","1","1","1","1","1","1","3","3","DE","DE","","0","2",1,"2","2","4","2","Thueringen"
"188","2020-03-24 12:37:55",5332766,45,"4","3","3","2","3","3","4","3","4","4","4","4","3","3","3","3","5","1","4","4","2","1","3","2","5","1","1","1","1","1","1","2","2","1","3","DE","DE","","0","2",1,"2","2","6","2","Sachsen"
"189","2020-03-24 12:37:58",5332768,42,"4","5","3","1","5","4","3","3","1","3","5","5","4","1","3","1","4","1","5","5","2","2","3","2","7","1","1","1","1","1","1","1","1","3","5","DE","DE","","0","2",1,"1","1","4","2","Bayern"
"190","2020-03-24 12:39:53",5332808,34,"2","4","4","2","2","4","5","2","1","3","4","4","2","1","1","1","5","1","5","5","1","5","5","4","3","1","1","1","1","1","1","1","1","2","1","DE","DE","","1","2",1,"1","1","3","2","Berlin"
"192","2020-03-24 12:41:03",5332825,28,"2","1","1","2","3","1","3","3","3","2","4","5","2","1","4","3","5","1","5","4","1","5","4","1","1","1","2","1","1","1","1","2","1","1","3","DE","DE","","0","2",1,"1","1","1","2","Berlin"
"193","2020-03-24 12:42:04",5332852,40,"4","5","2","4","4","3","3","1","3","4","5","4","4","4","2","4","2","2","1","4","4","2","2","2","2","1","1","1","1","1","1","2","2","1","4","DE","DE","","0","2",1,"1","1","3","2","Berlin"
"198","2020-03-24 12:43:44",5332884,34,"2","2","4","4","4","2","3","3","4","2","3","5","4","1","1","1","3","3","2","4","2","2","4","2","6","1","2","1","1","1","1","1","1","4","3","DE","DE","","0","2",1,"1","1","7","2","Nordrhein-Westfalen"
"199","2020-03-24 12:44:27",5332900,30,"3","4","4","4","3","3","5","3","4","4","3","4","3","1","2","1","5","1","4","4","2","4","3","2","5","1","1","1","1","1","1","2","2","2","3","DE","DE","","0","2",1,"2","1","3","2","Berlin"
"200","2020-03-24 12:44:56",5332904,32,"3","4","2","1","4","3","4","2","2","3","3","4","4","1","2","2","4","1","4","4","1","3","5","1","6","1","1","1","1","1","1","1","1","2","3","DE","DE","","0","2",1,"1","1","4","2","Berlin"
"205","2020-03-24 12:48:08",5332963,31,"3","5","3","3","4","3","5","2","2","1","4","4","5","1","2","1","4","1","4","4","2","2","4","4","3","1","1","1","1","1","1","1","2","1","3","DE","DE","","0","2",1,"2","2","4","2","Thueringen"
"206","2020-03-24 12:50:34",5333007,28,"4","4","3","3","5","2","4","2","4","2","3","4","3","2","3","2","4","2","3","4","2","3","3","2","2","1","1","1","1","1","1","1","1","2","3","DE","DE","","1","2",1,"2","2","4","2","Niedersachsen"
"217","2020-03-24 12:56:30",5333105,25,"4","3","4","4","5","2","5","1","2","5","4","1","5","1","4","1","5","1","5","2","1","4","5","4","2","1","1","1","1","1","1","2","2","7","4","DE","DE","","2","2",1,"2","2","4","2","Baden-Wuerttemberg"
"218","2020-03-24 12:57:23",5333113,40,"4","4","3","3","4","4","4","2","3","3","3","4","4","2","2","1","4","1","4","3","2","4","4","2","3","1","1","1","1","1","1","1","1","4","3","DE","DE","","0","2",1,"2","2","2","2","Berlin"
"219","2020-03-24 12:58:15",5333147,28,"3","3","3","5","4","2","4","3","4","4","2","2","5","3","3","2","2","2","4","5","1","4","3","2","3","1","2","1","1","1","1","2","2","3","4","DE","DE","4","0","1",1,"2","2","5","3","Berlin"
"220","2020-03-24 12:59:18",5333167,60,"3","4","4","4","3","1","2","4","1","4","5","4","1","2","2","2","4","1","5","4","1","5","4","2","7","1","1","1","1","1","1","1","2","2","5","DE","DE","","0","2",1,"3","2","3","2","Sachsen"
"221","2020-03-24 13:03:13",5333240,28,"5","3","3","1","4","4","5","2","4","2","3","5","5","1","1","2","5","3","3","4","1","3","4","2","6","1","1","1","1","1","1","1","1","2","2","DE","DE","","0","2",1,"2","2","3","3","Berlin"
"222","2020-03-24 13:06:06",5333277,25,"2","1","2","4","4","2","2","3","3","5","4","2","4","1","2","3","3","2","3","4","1","4","5","1","4","1","1","1","1","1","1","1","1","2","3","DE","DE","","0","2",1,"2","2","3","2","Baden-Wuerttemberg"
"223","2020-03-24 13:06:58",5333291,20,"4","3","3","4","4","4","3","1","3","4","4","2","3","2","3","2","4","2","4","3","2","3","4","3","7","1","1","1","1","1","1","1","2","4","4","DE","DE","","1","2",1,"3","3","4","2","Nordrhein-Westfalen"
"224","2020-03-24 13:07:37",5333304,36,"4","4","3","4","5","4","5","2","1","4","4","2","3","4","2","1","4","1","4","3","1","5","5","1","2","1","1","1","1","1","1","2","2","4","3","DE","DE","","0","2",1,"1","1","2","1","Sachsen"
"225","2020-03-24 13:09:20",5333334,37,"4","5","3","2","3","5","4","2","3","4","4","2","4","4","3","3","2","2","3","4","2","5","4","2","4","1","1","1","1","1","1","2","2","4","5","DE","DE","","0","2",1,"1","1","7","2","Sachsen"
"227","2020-03-24 13:10:22",5333351,25,"4","4","2","4","4","3","4","2","2","3","5","4","5","1","3","2","4","1","3","4","1","4","5","1","3","1","2","1","1","1","1","1","1","4","3","DE","DE","","0","2",1,"1","1","2","2","Baden-Wuerttemberg"
"230","2020-03-24 13:12:16",5333384,48,"4","5","4","2","4","3","3","2","5","2","4","2","4","3","2","4","2","4","2","5","2","3","3","3","7","1","1","1","1","1","1","1","3","2","6","DE","DE","","0","2",1,"1","1","3","2","Niedersachsen"
"233","2020-03-24 13:14:45",5333418,18,"4","2","3","4","4","2","4","2","3","2","4","4","2","2","3","2","4","2","3","3","1","4","4","2","5","1","2","1","1","1","1","2","1","3","2","DE","DE","6","1","1",1,"2","2","3","2","Berlin"
"236","2020-03-24 13:19:17",5333490,41,"3","4","4","3","4","5","2","4","4","4","5","5","5","1","1","2","4","1","5","5","1","5","5","1","1","1","1","1","1","1","1","1","1","2","5","DE","DE","8","0","1",1,"1","1","4","2","Niedersachsen"
"237","2020-03-24 13:19:27",5333494,28,"2","3","4","4","4","5","5","4","4","2","3","5","4","2","4","3","4","2","4","5","3","5","5","2","7","1","2","1","1","1","1","2","1","1","2","DE","DE","","0","2",1,"2","2","3","2","Berlin"
"241","2020-03-24 13:20:56",5333514,64,"4","3","2","5","3","3","3","2","3","3","4","1","2","4","3","1","3","1","4","4","1","5","4","1","6","1","1","1","1","1","1","1","2","2","2","DE","DE","","0","2",1,"3","3","5","2","Nordrhein-Westfalen"
"242","2020-03-24 13:21:59",5333536,30,"4","4","2","4","4","4","4","1","2","2","4","4","3","1","1","2","2","1","3","4","2","2","4","2","5","1","1","1","1","1","1","2","1","3","2","DE","DE","","0","2",1,"3","3","5","3","Sachsen"
"244","2020-03-24 13:28:31",5333634,30,"3","4","2","4","3","4","4","2","2","4","4","1","4","2","2","1","4","2","5","4","2","4","4","2","4","1","1","1","1","1","1","1","2","2","4","BA","DE","","0","2",1,"3","3","5","2","Berlin"
"245","2020-03-24 13:29:39",5333646,27,"3","3","3","4","4","4","4","2","3","2","4","3","2","2","2","2","5","2","3","4","2","3","4","2","7","1","1","1","1","1","1","2","1","1","4","DE","DE","9","0","1",1,"2","1","4","2","Berlin"
"248","2020-03-24 13:33:57",5333700,63,"4","2","3","4","4","2","3","2","2","4","2","2","3","2","2","2","3","2","3","2","1","2","4","2","5","2","","","1","1","1","1","2","2","5","DE","DE","","0","2",1,"3","2","2","2","Niedersachsen"
"249","2020-03-24 13:34:01",5333702,28,"2","4","3","4","4","5","3","3","3","3","4","5","2","1","3","3","3","1","4","4","2","5","5","1","8","1","2","1","1","1","1","1","2","2","1","DE","DE","","0","2",1,"1","1","2","1","Nordrhein-Westfalen"
"250","2020-03-24 13:35:06",5333716,28,"3","4","3","4","4","4","4","2","3","3","4","2","4","3","1","2","5","2","5","4","1","4","5","1","2","2","","","1","1","1","1","1","3","4","DE","DE","","0","2",1,"2","2","3","2","Berlin"
"254","2020-03-24 13:38:44",5333765,23,"3","2","3","4","4","2","4","4","2","4","4","2","2","4","1","2","3","1","3","5","2","3","4","4","3","1","1","2","1","1","1","2","2","4","4","DE","DE","","0","2",1,"1","1","3","2","Bayern"
"255","2020-03-24 13:42:18",5333807,24,"5","5","3","3","4","5","3","2","1","2","4","5","2","4","2","1","5","1","3","5","1","3","4","2","3","2","","","1","1","1","1","1","3","2","DE","DE","","2","2",1,"2","2","2","2","Baden-Wuerttemberg"
"256","2020-03-24 13:43:47",5333822,25,"2","4","3","4","4","3","3","5","3","1","4","5","3","1","2","2","4","2","4","3","1","3","5","3","7","1","1","1","1","1","1","2","1","2","6","DE","DE","","0","2",1,"2","2","3","2","Sachsen"
"260","2020-03-24 13:46:26",5333848,31,"4","3","4","4","4","3","4","2","4","5","4","1","1","4","1","2","3","1","2","5","1","2","4","2","7","1","1","1","1","1","1","1","2","2","2","DE","DE","","1","2",1,"2","2","3","2","Baden-Wuerttemberg"
"261","2020-03-24 13:46:40",5333849,33,"4","2","2","2","4","2","4","2","4","5","5","4","2","4","1","1","2","1","2","4","2","4","2","1","1","1","2","1","1","1","1","1","2","2","2","DE","DE","","0","2",1,"2","2","3","2","Niedersachsen"
"262","2020-03-24 13:47:30",5333860,71,"3","3","2","3","4","3","3","2","3","4","4","3","4","1","1","1","4","1","4","4","2","5","4","1","2","1","1","1","1","1","1","1","1","1","2","DE","DE","","1","2",1,"4","2","3","2","Bayern"
"263","2020-03-24 13:48:39",5333880,26,"2","5","2","2","4","4","4","2","4","2","2","5","2","5","2","1","3","2","4","5","1","3","5","1","6","1","1","1","1","1","1","1","1","6","1","DE","DE","","1","2",1,"3","2","7","2","Berlin"
"265","2020-03-24 13:49:58",5333897,34,"5","5","4","4","5","5","4","4","5","4","5","4","2","2","2","4","4","1","2","4","2","2","5","2","7","1","1","1","1","1","1","1","2","5","3","DE","DE","12","0","1",1,"3","3","3","2","Berlin"
"266","2020-03-24 13:51:58",5333934,27,"4","4","3","3","3","5","3","3","4","4","3","5","3","3","4","2","4","2","5","5","1","5","5","1","1","1","1","1","1","1","1","1","1","3","6","DE","DE","8","0","1",1,"2","2","3","2","Niedersachsen"
"267","2020-03-24 13:57:05",5333996,23,"2","2","3","4","4","3","4","2","4","4","4","2","2","2","2","1","4","1","4","5","1","4","4","1","6","1","1","1","1","1","1","1","1","2","5","DE","DE","","0","2",1,"1","1","3","2","Bayern"
"270","2020-03-24 14:01:31",5334181,27,"5","5","2","1","4","4","4","4","2","1","4","2","2","1","1","1","3","2","4","5","2","4","3","3","5","1","1","1","1","1","1","1","1","4","3","DE","DE","","2","2",1,"2","2","4","2","Niedersachsen"
"272","2020-03-24 14:02:22",5334213,29,"4","5","1","2","3","4","2","2","2","1","4","4","2","1","1","1","5","1","3","4","2","4","4","3","1","1","2","1","1","1","1","1","1","2","1","DE","DE","","0","2",1,"3","2","7","2","Berlin"
"273","2020-03-24 14:02:45",5334224,31,"2","4","4","4","5","2","5","1","2","3","4","2","4","4","2","2","4","1","4","4","3","4","3","3","2","1","2","1","1","1","1","1","2","1","5","DE","DE","","0","2",1,"4","1","4","2","Berlin"
"274","2020-03-24 14:02:48",5334225,29,"3","2","4","4","4","1","5","1","4","4","5","4","2","1","1","1","5","1","5","4","1","5","5","1","3","1","1","1","1","1","1","1","1","2","2","DE","DE","","0","2",1,"2","2","3","2","Berlin"
"276","2020-03-24 14:09:18",5334360,27,"4","5","2","2","4","4","4","2","5","3","5","2","3","1","3","2","4","2","4","4","4","5","4","4","3","1","1","1","1","1","1","2","2","2","3","DE","DE","","0","2",1,"1","1","2","1","Bayern"
"277","2020-03-24 14:09:45",5334368,35,"3","4","1","3","4","4","2","1","4","2","5","4","3","2","4","1","4","1","3","5","1","4","5","1","2","2","","","1","1","1","2","2","3","2","DE","DE","","0","2",1,"1","1","3","1","Thueringen"
"278","2020-03-24 14:10:21",5334381,32,"5","4","2","2","4","5","2","2","3","1","4","2","1","1","3","1","2","1","5","4","2","3","4","4","5","1","1","1","1","1","1","1","1","2","2","DE","DE","","0","2",1,"2","2","2","2","Berlin"
"280","2020-03-24 14:12:47",5334427,74,"4","1","2","4","4","3","3","4","2","5","5","1","5","1","2","3","4","2","4","4","5","4","3","1","3","1","2","1","1","1","1","2","2","2","3","DE","DE","","2","2",1,"2","2","2","2","Baden-Wuerttemberg"
"284","2020-03-24 14:14:21",5334477,28,"5","4","2","2","4","3","3","2","2","1","4","4","2","1","2","1","4","1","4","5","2","1","3","4","6","1","1","1","1","1","1","1","1","1","2","DE","DE","","0","2",1,"2","2","3","2","Berlin"
"285","2020-03-24 14:14:33",5334479,26,"2","1","2","4","4","3","4","4","4","4","4","5","5","1","3","1","2","1","4","2","1","5","5","1","4","1","1","1","1","1","1","1","1","2","3","DE","DE","","0","2",1,"2","2","4","2","Bayern"
"286","2020-03-24 14:15:58",5334496,36,"4","2","4","4","4","2","3","2","3","2","4","4","2","2","2","2","4","1","4","4","1","4","5","1","3","1","2","1","1","1","1","2","1","1","2","DE","DE","","0","2",1,"1","1","2","2","Niedersachsen"
"288","2020-03-24 14:20:07",5334574,36,"4","4","2","2","3","2","2","4","4","2","4","4","4","3","2","2","3","2","4","4","2","2","4","2","4","1","2","1","1","1","1","1","1","2","3","DE","DE","","0","2",1,"2","2","2","2","Hamburg"
"289","2020-03-24 14:21:58",5334602,37,"4","1","3","2","4","4","4","2","4","3","4","4","4","1","2","2","5","1","4","4","1","3","3","2","3","1","1","1","1","1","1","2","1","3","5","RU","DE","","0","2",1,"1","1","7","3","Berlin"
"292","2020-03-24 14:28:33",5334714,68,"4","2","4","2","3","2","3","3","3","2","3","4","3","2","2","2","5","2","3","4","1","4","4","2","8","1","1","1","1","1","1","1","1","25","4","DE","DE","","1","2",1,"2","2","3","2","Baden-Wuerttemberg"
"299","2020-03-24 14:34:20",5334803,29,"3","2","2","4","3","4","4","2","4","4","4","2","2","3","2","1","2","2","3","4","2","2","4","2","8","1","2","1","1","1","1","1","2","4","2","DE","DE","","0","2",1,"2","2","3","1","Nordrhein-Westfalen"
"301","2020-03-24 14:37:13",5334851,46,"3","4","3","3","4","2","4","2","2","5","5","5","3","1","2","2","4","1","4","4","1","4","5","1","2","1","1","1","1","1","1","1","1","4","4","DE","DE","","0","2",1,"2","2","2","2","Sachsen"
"302","2020-03-24 14:38:33",5334867,28,"2","5","3","3","4","4","4","2","2","2","4","5","3","1","2","1","2","2","3","3","3","4","4","2","3","2","","","1","1","1","1","1","2","5","DE","DE","","0","2",1,"1","1","3","2","Nordrhein-Westfalen"
"305","2020-03-24 14:44:38",5334969,31,"4","5","3","4","3","3","3","4","4","3","3","4","2","2","4","2","4","2","4","5","1","5","5","1","2","1","1","1","1","1","1","1","1","2","2","DE","DE","","0","2",1,"1","1","3","2","Sachsen"
"306","2020-03-24 14:46:03",5334989,24,"3","2","4","3","4","4","4","3","4","2","3","2","5","3","1","1","2","1","4","5","2","3","3","4","8","2","","","1","1","1","2","1","3","4","DE","DE","","0","2",1,"1","1","5","2","Niedersachsen"
"307","2020-03-24 14:47:10",5334996,24,"3","1","3","3","4","3","5","2","1","3","4","3","4","1","1","1","4","1","5","5","2","2","2","2","4","2","","","1","1","1","1","1","1","5","DE","DE","","0","2",1,"2","2","4","2","Sachsen-Anhalt"
"309","2020-03-24 14:49:15",5335026,32,"4","5","2","4","4","3","4","2","3","1","4","4","3","4","3","2","5","1","5","4","2","3","4","3","5","1","1","1","1","1","1","1","1","3","2","DE","DE","5","1","1",1,"2","2","4","2","Bayern"
"310","2020-03-24 14:52:04",5335066,30,"4","3","4","3","4","4","4","2","3","1","3","2","3","2","1","1","4","2","3","3","2","2","3","2","6","1","1","1","1","1","1","1","1","4","4","DE","DE","","0","2",1,"2","2","2","2","Hessen"
"311","2020-03-24 14:55:07",5335098,30,"4","4","3","3","5","3","4","2","2","3","4","2","2","2","2","2","4","1","4","4","2","4","4","3","3","1","1","1","1","1","1","1","2","2","3","CO","DE","","0","2",1,"1","1","3","2","Berlin"
"312","2020-03-24 14:55:31",5335110,31,"4","4","2","5","1","5","2","5","1","5","4","4","2","5","5","5","5","2","5","3","2","5","4","2","6","2","","","1","1","1","1","2","3","1","DE","DE","","0","2",1,"2","2","2","2","Berlin"
"313","2020-03-24 14:56:14",5335122,28,"3","3","3","4","5","2","5","2","3","2","4","4","4","1","1","3","4","1","5","5","1","5","5","1","3","1","2","1","1","1","1","1","1","1","6","DE","DE","","0","2",1,"1","1","2","2","Nordrhein-Westfalen"
